,Income,Age,TotalSpending,TotalPurchases,Recency,NumWebPurchases,Kidhome,Teenhome,CampaignsAccepted
Cluster 0,34739.91234084231,41.86973555337904,96.13907933398629,5.816846229187071,49.503428011753186,2.1038197845249753,0.8099902056807052,0.435847208619001,0.08619000979431929
Cluster 1,79933.98473282442,43.55725190839695,1574.381679389313,19.82442748091603,49.23664122137404,5.564885496183206,0.07633587786259542,0.2366412213740458,2.49618320610687
Cluster 2,74869.11394891945,45.787819253438116,1307.1218074656188,19.57956777996071,50.39685658153242,5.278978388998035,0.04911591355599214,0.2337917485265226,0.26129666011787817
Cluster 3,56932.44127806563,50.90500863557858,668.8445595854922,16.54749568221071,47.25388601036269,6.193436960276339,0.229706390328152,0.9309153713298791,0.20552677029360966
