k,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz
2,31432.482362773448,0.3327540924805452,1.3245082719026218,1048.2894977051287
3,27152.197443719575,0.3042344280550988,1.5295139147482733,782.8250743370626
4,24118.63658150763,0.2611313019536497,1.5127513159725163,681.0078056790757
5,22079.934983492512,0.26206160942245693,1.4099724529014117,609.2535510465968
6,20383.272745200917,0.20133748522421188,1.4881168978402561,564.9277589089229
7,18334.090231197726,0.20880381603536494,1.333688110629699,564.7533674268611
8,17202.349040135465,0.22384192857978888,1.2646673141969818,536.6680683038903
